,Issue No,Issue Date,Gazette Number,Category,Department,URL,Deleted,Archived URL,Archived Date
52,73,2023-02-24,Part VI-Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc.","THE COMMISSIONER OF LAND ADMINISTRATION CHEPAUK, CHENNAI-600 005.--Acquisition of Lands.",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/73_Ex_VI_1_2023.pdf,False,https://web.archive.org/web/20230401003143/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/73_Ex_VI_1_2023.pdf,2023-04-01 00:31:43
53,72,2023-02-23,Part II--Section 1,Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments.,FINANCE DEPARTMENT--Market Borrowing Programme of State Government by Auction,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/72_Ex_II_1_2023.pdf,True,,
54,71,2023-02-23,Part II—Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,PUBLIC DEPARTMENT (Law and Order-A)--Law and Order - Payment of compensation amount to the victims of custodial death/torture/ rape by the police / prison officials and police firing……..,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/71_Ex_II_2_2023.pdf,True,,
55,70,2023-02-22,Part IV--Section 2,Tamil Nadu Acts and Ordinances,ACT No. 3 of 2023,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/70_Ex_IV_2_2023.pdf,True,,
56,69,2023-02-22,Part II--Section 1,Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments.,FINANCE DEPARTMENT--Issue of State Government Securities,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/69_Ex_II_1_2023.pdf,True,,
57,68,2023-02-21,Part VI-Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc.","THE COMMISSIONER OF LAND ADMINISTRATION CHEPAUK, CHENNAI-600 005.--Acquisition of Lands.",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/68_Ex_VI_1_2023.pdf,False,https://web.archive.org/web/20230401003222/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/68_Ex_VI_1_2023.pdf,2023-04-01 00:32:22
58,67,2023-02-16,Part II--Section 1,Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments.,FINANCE DEPARTMENT--Market Borrowing programme of State Government by Auction,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/67_Ex_II_1_2023.pdf,True,,
59,66,2023-02-14,Part VI--Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc.","THE COMMISSIONER OF LAND ADMINISTRATION, CHEPAUK, CHENNAI-600 005--Acquisition of Lands--Form-C--Notice under Section 3(1) of Tamil Nadu Acquisition of Land for Industrial Purposes Act, 1997",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/66_Ex_VI_1.pdf,False,https://web.archive.org/web/20230401003223/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/66_Ex_VI_1.pdf,2023-04-01 00:32:23
60,65,2023-02-13,Part VI--Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc.","THE COMMISSIONER OF LAND ADMINISTRATION, CHEPAUK, CHENNAI-600 005--Acquisition of Lands",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/65_Ex_VI_1_2023.pdf,True,,
61,64,2023-02-11,Part V--Section 2,"Notifications relating to list of contesting candidates from Collector and Returning Officer, other Heads of Departments, Election Tribunals etc.","ELECTION COMMISSION OF INDIA--Bye-Election to Tamil Nadu Legislative Assembly, 2023.",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/64_Ex_V_2_2023.pdf,True,,
